layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.5183496840761184,0.3109405963852016,0.7257587717670351,116,0.23819301848049282,371,0.7618069815195072,138,0.16995073891625614,674,0.8300492610837439,0.5826066469474013,1299
1,0.5337604025789945,0.3466260496671989,0.7208947554907901,135,0.27720739219712526,352,0.7227926078028748,156,0.1921182266009852,656,0.8078817733990148,0.6102485741155775,1299
2,0.5480517243835338,0.3722226409638397,0.7238808078032278,148,0.30390143737166325,339,0.6960985626283368,159,0.1958128078817734,653,0.8041871921182266,0.616352691154818,1299
3,0.5549255227285721,0.3802619280014615,0.7295891174556826,150,0.3080082135523614,337,0.6919917864476386,152,0.18719211822660098,660,0.812807881773399,0.6523379446672755,1299
4,0.568775689523133,0.41008972146765305,0.7274616575786128,169,0.3470225872689938,318,0.6529774127310062,166,0.2044334975369458,646,0.7955665024630542,0.655868319189741,1299
5,0.5706896671754385,0.41416134414124917,0.7272179902096276,172,0.3531827515400411,315,0.6468172484599589,168,0.20689655172413793,644,0.7931034482758621,0.6681625798502686,1299
6,0.5786410531415764,0.4241814644158084,0.7331006418673446,176,0.3613963039014374,311,0.6386036960985626,162,0.19950738916256158,650,0.8004926108374384,0.6636019802383787,1299
7,0.5964423961922974,0.45030672591759907,0.7425780664669959,188,0.3860369609856263,299,0.6139630390143738,156,0.1921182266009852,656,0.8078817733990148,0.6825636631366367,1299
8,0.6247031464940211,0.4997590824874468,0.7496472105005954,217,0.4455852156057495,270,0.5544147843942505,163,0.20073891625615764,649,0.7992610837438424,0.7160036954858824,1299
9,0.6374598404394769,0.5178713219093867,0.757048358969567,226,0.46406570841889117,261,0.5359342915811088,158,0.19458128078817735,654,0.8054187192118226,0.7214554677824674,1299
10,0.6301246919484164,0.5076932177457518,0.7525561661510809,222,0.45585215605749485,265,0.5441478439425051,162,0.19950738916256158,650,0.8004926108374384,0.7285095009057531,1299
11,0.6309799355600112,0.5109421464731515,0.7510177246468709,225,0.4620123203285421,262,0.5379876796714579,166,0.2044334975369458,646,0.7955665024630542,0.7345194253312772,1299
12,0.659235365028132,0.5552096775693244,0.7632610524869395,251,0.5154004106776181,236,0.48459958932238195,165,0.20320197044334976,647,0.7967980295566502,0.7506789725871678,1299
13,0.6760350766397369,0.5782375422355635,0.7738326110439105,263,0.5400410677618069,224,0.459958932238193,158,0.19458128078817735,654,0.8054187192118226,0.7762222853896523,1299
14,0.683188062998059,0.587894971302097,0.778481154694021,268,0.5503080082135524,219,0.44969199178644764,155,0.19088669950738915,657,0.8091133004926109,0.776777906200159,1299
15,0.6845881492945083,0.593087787242905,0.7760885113461116,274,0.5626283367556468,213,0.43737166324435317,162,0.19950738916256158,650,0.8004926108374384,0.7918222817978412,1299
16,0.7092186246058343,0.6279831996945399,0.7904540495171286,294,0.6036960985626283,193,0.39630390143737165,155,0.19088669950738915,657,0.8091133004926109,0.799480180573437,1299
17,0.722338816401584,0.646204523714047,0.7984731090891211,306,0.6283367556468172,181,0.37166324435318276,152,0.18719211822660098,660,0.812807881773399,0.8179160503898254,1299
18,0.7292851113916348,0.6551732980105,0.8033969247727697,309,0.6344969199178645,178,0.3655030800821355,147,0.1810344827586207,665,0.8189655172413793,0.8269707720285376,1299
19,0.7075460835151396,0.6232255605091453,0.7918666065211338,289,0.5934291581108829,198,0.406570841889117,150,0.18472906403940886,662,0.8152709359605911,0.8187706145688983,1299
20,0.7305891242428104,0.6560442263159924,0.8051340221696284,308,0.6324435318275154,179,0.3675564681724846,144,0.17733990147783252,668,0.8226600985221675,0.8267199113603516,1299
21,0.7139393719821991,0.6365548285856047,0.7913239153787935,302,0.6201232032854209,185,0.3798767967145791,159,0.1958128078817734,653,0.8041871921182266,0.8166530842350269,1299
22,0.7289331504874912,0.6526502315697076,0.8052160694052747,305,0.6262833675564682,182,0.3737166324435318,142,0.1748768472906404,670,0.8251231527093597,0.8326628793457944,1299
23,0.7240822987281612,0.6480841770190413,0.8000804204372812,305,0.6262833675564682,182,0.3737166324435318,149,0.1834975369458128,663,0.8165024630541872,0.8313234178953042,1299
24,0.734968997187576,0.6620834745176467,0.8078545198575053,313,0.6427104722792608,174,0.35728952772073924,144,0.17733990147783252,668,0.8226600985221675,0.8407494254656116,1299
25,0.7373104747732858,0.6639097933438254,0.8107111562027463,312,0.6406570841889117,175,0.3593429158110883,139,0.17118226600985223,673,0.8288177339901478,0.8472384116648508,1299
26,0.7244177636134483,0.6455620139551156,0.8032735132717811,301,0.6180698151950719,186,0.38193018480492813,142,0.1748768472906404,670,0.8251231527093597,0.8458170771617407,1299
27,0.7299263771809759,0.65455372646677,0.8052990278951817,308,0.6324435318275154,179,0.3675564681724846,144,0.17733990147783252,668,0.8226600985221675,0.8518028620359427,1299
28,0.7271513953615827,0.650642170676069,0.8036606200470965,305,0.6262833675564682,182,0.3737166324435318,144,0.17733990147783252,668,0.8226600985221675,0.8473855966371726,1299
29,0.72995157796202,0.6507489185423962,0.8091542373816438,300,0.6160164271047228,187,0.3839835728952772,133,0.16379310344827586,679,0.8362068965517241,0.8422941436159327,1299
30,0.7214051903473949,0.638014432455495,0.8047959482392948,291,0.5975359342915811,196,0.4024640657084189,133,0.16379310344827586,679,0.8362068965517241,0.8483190794688816,1299
31,0.7244448374056246,0.6452972902436059,0.8035923845676433,300,0.6160164271047228,187,0.3839835728952772,141,0.17364532019704434,671,0.8263546798029556,0.8435983518559393,1299
32,0.7195437141455919,0.635253613168663,0.8038338151225208,290,0.5954825462012321,197,0.40451745379876797,134,0.16502463054187191,678,0.8349753694581281,0.8361580508538925,1299
33,0.7215717479225012,0.6395502121972207,0.8035932836477816,294,0.6036960985626283,193,0.39630390143737165,137,0.1687192118226601,675,0.8312807881773399,0.8350652814036504,1299
34,0.7299899755946502,0.6518694116942965,0.808110539495004,302,0.6201232032854209,185,0.3798767967145791,136,0.16748768472906403,676,0.8325123152709359,0.8469282116180297,1299
35,0.7302098312760574,0.6510782094544119,0.8093414530977029,300,0.6160164271047228,187,0.3839835728952772,133,0.16379310344827586,679,0.8362068965517241,0.8444072379676284,1299
