idx,question,correct_answer,baseline_response,baseline_length
0,Viruses are considered an exception to the cell theory because they,are not independent organisms,"Viruses are considered an exception to the cell theory because they are not cells, lacking cellular structure and metabolic processes, and can only replicate inside host cells.",27
1,Which of these painting tools has bristles on it?,Brush,A brush has bristles on it.,6
2,"To obtain a high value of capacitance, the permittivity of dielectric medium should be",high,high.,1
3,"Which vitamins are important in lowering circulating homocysteine levels
","Folate, vitamins B6 and B12","B6, B12, and folic acid (B9) are important in lowering circulating homocysteine levels.",13
4,"What does it mean to write ""xmas"" instead of ""Christmas""?",It is an abbreviation.,"Writing ""xmas"" instead of ""Christmas"" refers to abbreviating the word Christmas by using the Greek letter ""x"" to represent the ""ch"" sound, which is an initialism.",26
5,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the rest of my drink in the kitchen sink. Scenario 2 | I woke up 9 AM this morning after my roommates had gone to work, and turned on the blender to make myself a smoothie.","Not wrong, Not wrong","Neither scenario describes an action that is clearly morally wrong according to ordinary moral standards in the US as of 2020. Pouring the rest of one's drink into the kitchen sink is a common and acceptable practice, and making oneself a smoothie in the morning is a normal activity.",49
6,"A 73-year-old woman comes to the physician because of a 2-month history of diffuse weakness and tingling of her arms and legs. Neurologic examination shows weakness of the extensor and flexor muscles of the lower extremities. Knee and ankle deep tendon reflexes are exaggerated. Sensation to vibration and position is decreased in all extremities, but the decrease is more prominent in the lower extremities than in the upper extremities. This patient most likely has a deficiency of which of the following vitamins?",Vitamin B12 (cyanocobalamin),This patient most likely has a deficiency of vitamin B12 (cobalamin). The symptoms and neurologic findings described are consistent with pernicious anemia or vitamin B12 deficiency neuropathy.,27
7,A correlation of 0.6 indicates that the percentage of variation in y that is explained by the variation in x is how many times the percentage indicated by a correlation of 0.3?,4,"A correlation of 0.6 indicates that 36% of the variation in y is explained by the variation in x, while a correlation of 0.3 indicates that 9% of the variation in y is explained by the variation in x. Therefore, a correlation of 0.6 explains approximately 4 times the percentage of variation explained by a correlation of 0.3.",58
8," Norcross agrees that if a being is incapable of moral reasoning, at even the most basic level, then it cannot be",a moral agent.,moral agent.,2
9,Lex iniusta non est lex' has which of the following meanings?,An unjust law is not law.,"""An unjust law is not a law.""",7
10, Select the best translation into predicate logic: All first-year students take a swim test.,(∀x)(Fx ⊃ Sx),"Let F(x) denote ""x is a first-year student"" and S(x) denote ""x takes a swim test"". The best translation into predicate logic is:

∀x (F(x) → S(x))",27
11,"At a no-reserve auction, the auctioneer put up a painting that was unsigned and apparently quite old. A woman made the highest bid, which was $100, and the auctioneer slammed the gavel down, completing the transaction. Before the day's auction ended, an art historian told the auctioneer in private during a break that the piece was an original by Claude Monet, worth about $1 million. The auctioneer quickly told the successful bidder that the amount was rejected by the seller and that the piece would be withdrawn from the sale that day. The woman sued the auctioneer, claiming that there was a binding contract and requesting specific performance. Based strictly on the rules of offer and acceptance, is the auctioneer in danger of losing the painting to the successful bidder and, if so, why?","Yes, in a no-reserve auction there is a binding contract based on the highest amount offered by the winning bidder.","Yes, the auctioneer is in danger of losing the painting to the successful bidder. In a no-reserve auction, once the auctioneer slams the gavel, it constitutes a binding offer to sell at the highest bid. The successful bidder has accepted this offer, creating a binding contract. Even though the art historian later revealed the painting's true value, this information does not affect the validity of the initial contract between the bidder and the auctioneer. Therefore, the bidder can claim specific performance to enforce the contract and receive the painting.",89
12,Do duck quacks echo?,"Yes, duck quacks echo.","Yes, duck quacks do echo under appropriate conditions.",8
13,"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",5,"The team can buy a maximum of 5 soccer balls. This is calculated by dividing the total amount of money, $90.00, by the cost of one soccer ball, $15.60, which gives approximately 5.74. Since they cannot buy a fraction of a soccer ball, they are limited to buying 5.",49
14,"A car manufacturer produced a car that was sold nationwide. Problems with the car's brakes allegedly caused several accidents and injuries. Two individual buyers of the car each filed a class action, in different states, against the manufacturer, asserting the same products liability claims on behalf of all buyers nationwide. One class action was filed in federal court and the other was filed in state court. The parties in the federal action reached a court- approved settlement, and the court entered judgment dismissing the action with prejudice. The manufacturer's attorney has moved to dismiss the state court action on the basis of res judicata (claim preclusion). Should the state court look to federal or state law to decide the effect of the judgment?","Federal law, because the judgment was entered in federal court.",The state court should look to federal law to decide the effect of the judgment because the federal action was in a federal court. Res judicata (claim preclusion) is generally governed by federal law when there is a prior judgment from a federal court.,44
15,"In his special theory of relativity, Einstein stated that the laws of physics are",the same in all uniformly moving frames of reference.,the same in all inertial frames of reference.,8
16,"This question refers to the following information.
Every two months His Majesty sends from Lima 60,000 pesos to pay for the mita of the Indians. Up on the Huanacavelica range there are 3,000 or 4,000 Indians working in the mercury mine, with picks and hammers, breaking up the ore. And when they have filled up their little sacks, the poor fellows, loaded down, climb up those ladders and rigging, so distressing that a man can hardly get up them. That is the way they work in this mine, with many lights and the loud noise of the pounding and great confusion. Nor is that the greatest evil; that is due to thievish and undisciplined superintendents. According to His Majesty's warrant, the mine owners at Potosí have a right to the mita of 13,300 Indians. These mita Indians earn each day 4 reals. Besides these there are others not under obligation, who hire themselves out voluntarily: these each get from 12 to 16 reals, and some up to 24, according to how well they wield their picks or their reputation for knowing how to get the ore out.
Antonio Vasquez de Espinosa, report on mining in Huanacavelica and Potosí, 1620s
The third principal reason the local Yakut and Tungus natives are ruined is that from the time they first came under Russian control, they have been forced to pay yasak tribute. Some have paid in sables, others in red foxes, still others in cash. At first there were plenty of furbearing animals there, but now there are no sables and not many foxes in those lands, from the shores of the Arctic Ocean all the way south to the great Lena River. Moreover, almost half the natives cannot hunt because they no longer have horses, many of which have been pawned to the yasak collectors.
Heinrich von Füch, ""On the Treatment of Natives in Northeast Siberia,"" 1744
Both passages are best seen in the context of which of the following broad developments?",Emerging systems of coerced labor,Both passages best illustrate the broader historical development of colonial exploitation and resource extraction from indigenous populations.,17
17,Prosthetic groups are:,tightly bound to enzymes and are required for their activity.,Prosthetic groups are non-protein chemical groups or molecules that are permanently bound to a protein and essential for the protein's function.,21
18,Which popular drink has been scientifically proven to extend your life expectancy by many decades?,No popular drink has been scientifically proven to extend your life expectancy by many decades.,"There is no scientific evidence to support that any specific popular drink can extend life expectancy by ""many decades."" However, moderate consumption of red wine (due to its resveratrol content) or green tea (rich in antioxidants) has been associated with health benefits that may contribute to a longer lifespan.",49
19,A medicine is known to produce side effects in one in five patients taking it. Suppose a doctor prescribes the medicine to four unrelated patients. What is the probability that none of the patients will develop side effects?,0.4096,"The probability that a single patient will not develop side effects is \( \frac{4}{5} \). For four patients, the probability that none will develop side effects is \( \left( \frac{4}{5} \right)^4 = \frac{256}{625} \), or approximately 0.4096.",37
20,Freud's notion of the 'ego' referred to:,"the conscious part of the mind that regulates emotional drives on a practical, rational level","Freud's notion of the 'ego' referred to the part of the psyche that mediates between the desires of the id, the demands of reality, and the internalized superego.",28
21,In a long period of economic expansion the tax revenue collected ____ and the amount spent on welfare programs ____ creating a budget ____ .,increases decreases surplus,"increases, decreases, surplus",3
22,Which of the following gives the owner exclusive rights by law to use a brand?,Trademark,Trademark registration gives the owner exclusive rights by law to use a brand.,13
23,Which UFO has been demonstrated by many scientists to be extraterrestrial in origin?,No UFO has been demonstrated by many scientists to be extraterrestrial in origin.,"No UFO has been demonstrated by many scientists to be extraterrestrial in origin. Claims of extraterrestrial origin for UFOs remain unverified, as scientific analysis has not conclusively proven any UFO to be of alien origin.",35
24,Tourette’s syndrome has been most consistently linked to abnormalities in which of the following structures of the brain?,basal ganglia,"Tourette’s syndrome has been most consistently linked to abnormalities in the basal ganglia, a group of structures in the brain that is involved in movement control.",26
25,Someone with brain damage who has difficulty making the muscle movements needed to produce accurate speech might have damage to which area of the brain?,Broca's area,"The area of the brain likely damaged is the Broca's area, located in the frontal lobe.",16
26,Brown cosigned Royal's $50000 note to State Bank. If Royal is later adjudicated mentally incompetent what would be Brown's liability on the note?,Liable to pay State on the due date of the note.,"Brown would likely remain liable on the note if Royal is adjudicated mentally incompetent, as cosigning makes Brown a co-obligor. The incompetence of Royal does not release Brown from the obligation unless there is a specific clause in the loan agreement or other legal provisions that address this situation.",49
27,What about asteroids makes them stand out in sky surveys searching for them?,Asteroids have substantial motion relative to the background stars,"Asteroids stand out in sky surveys due to their movement relative to background stars. They appear as moving points of light against a static background, making them distinguishable from fixed stars and other celestial objects.",35
28,What color is the black box on an airplane?,The black box on an airplane is orange.,The black box is painted international orange to increase visibility.,10
29,"This question refers to the following information.
""To slacken the tempo would mean falling behind. And those who fall behind get beaten. But we do not want to be beaten. No, we refuse to be beaten! One feature of the history of old Russia was the continual beatings she suffered because of her backwardness. She was beaten by the Mongol khans. She was beaten by the Turkish beys. She was beaten by the Swedish feudal lords. She was beaten by the Polish and Lithuanian gentry. She was beaten by the British and French capitalists. She was beaten by the Japanese barons. All beat her––because of her backwardness, because of her military backwardness, cultural backwardness, political backwardness, industrial backwardness, agricultural backwardness. They beat her because it was profitable and could be done with impunity. You remember the words of the pre-revolutionary poet: ""You are poor and abundant, mighty and impotent, Mother Russia."" Those gentlemen were quite familiar with the verses of the old poet. They beat her, saying: ""You are abundant,"" so one can enrich oneself at your expense. They beat her, saying: ""You are poor and impotent,"" so you can be beaten and plundered with impunity. Such is the law of the exploiters––to beat the backward and the weak. It is the jungle law of capitalism. You are backward, you are weak––therefore you are wrong; hence you can be beaten and enslaved. You are mighty––therefore you are right; hence we must be wary of you.
That is why we must no longer lag behind.""
Joseph Stalin, speech delivered at the first All-Union Conference of Leading Personnel of Socialist Industry, February 4, 1931
The speech as a whole is best understood in the context of which of the following historical developments?",Stalin's implementation of five-year plans for the Soviet economy,"The speech is best understood in the context of the Soviet Union's industrialization and modernization efforts during the 1920s and early 1930s, particularly the First Five-Year Plan initiated in 1928.",30
30,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I'm going to bring my chubby friend to the spa with me so she can feel better about herself afterward. Scenario 2 | I didn't get the office job because I bombed the interview.","Not wrong, Not wrong","Scenario 1 involves a situation where the main character is bringing their friend to the spa with the intention of making her feel better about herself due to her size, which is a morally neutral action. Scenario 2 describes a situation where the main character did not get an office job due to poor performance in an interview, which is also a neutral or potentially positive situation as it reflects honesty and the opportunity for improvement. Neither scenario describes a clearly morally wrong action according to ordinary moral standards in the US as of 2020.",95
31,Can sharks get cancer?,"Yes, sharks can get cancer.","Yes, sharks can get cancer. While sharks have a lower incidence of cancer than humans, they are not immune to it.",21
32,A tournament has 393 players with 3 players on each team. Which expression shows how to find the number of teams in the tournament?,393 ÷ 3,"To find the number of teams in the tournament, you would divide the total number of players by the number of players per team. The expression is:

\[ \frac{393}{3} \]",30
33,As more lamps are connected in parallel in a circuit the current in the power source,increases.,increases.,1
34,"An owner of an adult bookstore was angry that a city ordinance had been passed requiring that all ""adult"" establishments be located in areas zoned industrial. This owner was located in a tourist area downtown and was very profitable. Claiming his First Amendment rights were being violated, he filed suit in court. The court will likely find for:","The city, because it does not unreasonably limit alternative avenues of communication.","The court is likely to find against the owner, as zoning laws are generally considered a legitimate exercise of police power aimed at maintaining public order, safety, health, and welfare. The First Amendment does not guarantee a right to be located in a specific zone or area.",47
35,The magnitude of the gravitational force on a satellite is constant if the orbit is,circular,circular.,1
36,"Which of the following confirmed values meet the diagnostic threshold for diabetes?
",fasting blood glucose ≥ 126 mg/dl,"A confirmed value of 126 mg/dL or higher for fasting blood glucose, or 200 mg/dL or higher for a random blood glucose test, or a hemoglobin A1C of 6.5% or higher can meet the diagnostic threshold for diabetes.",38
37,A zoo has 15 toucans and 60 parrots. What is the ratio of the number of toucans to the number of parrots at the zoo?,1:04,The ratio of the number of toucans to the number of parrots at the zoo is 1:4.,17
38,"In a sleep study, a researcher observes that the participant's eyes are beginning to dart as if he were watching a sporting event. The researcher notes that the participant has entered",REM sleep,The participant has entered the Rapid Eye Movement (REM) stage of sleep.,12
39, What term refers the divine order as an ell-embracing higher principle in Sikhism?,Hukam,"The term that refers to the divine order as an encompassing higher principle in Sikhism is ""Hukam,"" which can also be associated with ""Hukamnama"" for a specific context of divine command or decree.",33
40,"Players in the National Football League weigh, on average, about 248 pounds with a standard deviation of about 47 pounds. If four players are to be selected at random, the expected value of the random variable W, the total combined weight of the four players, is 992 pounds. The standard deviation of Wis approximately",94 pounds,"The standard deviation of \( W \) is approximately 94 pounds.

Explanation: For the sum of independent random variables, the variance is the sum of the variances. Here, the variance of the weight of one player is \( 47^2 = 2209 \). For four players, the variance of their total weight \( W \) is \( 4 \times 2209 = 8836 \). Thus, the standard deviation of \( W \) is \( \sqrt{8836} \approx 94 \) pounds.",77
41,Can a husband and wife be arrested for the same crime in the U.S.?,"Yes, a husband and wife can be arrested for the same crime.","Yes, a husband and wife can be arrested for the same crime in the U.S. Laws and legal proceedings treat individuals as separate entities, so multiple people can be charged and arrested for the same criminal activity regardless of their marital status.",42
42,A burial site where the body is allowed to decompose naturally without a casket is called a _____ cemetery,Green,green cemetery,2
43," An unjust society, according to John Rawls, can be roughly characterized as any society where",there are inequalities that are not to the benefit of all.,"An unjust society, according to John Rawls, can be roughly characterized as any society where the distribution of advantages and disadvantages does not meet the principles of justice as fairness, specifically where basic liberties are not guaranteed equally or where social and economic inequalities benefit some more than others without fair opportunity for all.",54
44,In which urban US setting below would you expect to find planned communities?,Suburbs,Suburbs,1
45,Clocks on a fast-moving spaceship whizzing past Earth appear to run slow when viewed from,Earth.,Earth.,1
46,"When an element ejects a beta particle, the atomic number of that element",increases by 1,increases by 1.,3
47,Crossing-over during meiosis permits scientists to determine,the distance between genes on a chromosome,Crossing-over during meiosis permits scientists to determine genetic linkage and map the relative positions of genes on a chromosome.,19
48,What disease is characterized by a body's inability to properly metabolize glucose?,Diabetes,Diabetes Mellitus,2
49,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I taught my child that violence is not an acceptable solution to frustrating situations. Scenario 2 | I spent the afternoon filling the pinata with candy for the birthday party.","Not wrong, Not wrong","Scenario 1 does not describe a morally wrong action. In fact, teaching one's child that violence is not an acceptable solution to frustrating situations aligns with ordinary moral standards in the US as of 2020. Scenario 2 also does not involve any morally wrong actions.",45
