vector_type,layer,alpha,pct_changed,mean_word_diff,n
v_dec_vs_mistake,14,0.5,0.76,6.26,50
v_dec_vs_mistake,14,1.0,0.94,10.76,50
v_dec_vs_mistake,14,2.0,1.0,20.74,50
v_dec_vs_mistake,14,3.0,1.0,81.02,50
v_dec_vs_mistake,14,5.0,1.0,93.5,50
v_dec_vs_mistake,16,0.5,0.78,6.38,50
v_dec_vs_mistake,16,1.0,0.92,11.22,50
v_dec_vs_mistake,16,2.0,0.98,7.7,50
v_dec_vs_mistake,16,3.0,1.0,81.8,50
v_dec_vs_mistake,16,5.0,1.0,69.66,50
v_dec_vs_mistake,17,0.5,0.78,5.94,50
v_dec_vs_mistake,17,1.0,0.96,15.28,50
v_dec_vs_mistake,17,2.0,1.0,33.6,50
v_dec_vs_mistake,17,3.0,1.0,36.54,50
v_dec_vs_mistake,17,5.0,1.0,-0.2,50
v_dec_vs_mistake,18,0.5,0.8,8.34,50
v_dec_vs_mistake,18,1.0,0.9,17.04,50
v_dec_vs_mistake,18,2.0,1.0,73.4,50
v_dec_vs_mistake,18,3.0,1.0,73.84,50
v_dec_vs_mistake,18,5.0,1.0,-11.66,50
v_dec_vs_mistake,19,0.5,0.78,10.38,50
v_dec_vs_mistake,19,1.0,0.92,21.6,50
v_dec_vs_mistake,19,2.0,1.0,101.32,50
v_dec_vs_mistake,19,3.0,1.0,106.5,50
v_dec_vs_mistake,19,5.0,1.0,0.98,50
v_dec_vs_mistake,20,0.5,0.82,6.5,50
v_dec_vs_mistake,20,1.0,0.94,16.16,50
v_dec_vs_mistake,20,2.0,1.0,102.3,50
v_dec_vs_mistake,20,3.0,1.0,112.82,50
v_dec_vs_mistake,20,5.0,1.0,113.62,50
v_dec_vs_mistake,21,0.5,0.74,5.76,50
v_dec_vs_mistake,21,1.0,0.96,12.8,50
v_dec_vs_mistake,21,2.0,1.0,101.76,50
v_dec_vs_mistake,21,3.0,1.0,108.88,50
v_dec_vs_mistake,21,5.0,1.0,52.66,50
v_dec_vs_mistake,22,0.5,0.74,5.34,50
v_dec_vs_mistake,22,1.0,0.94,11.96,50
v_dec_vs_mistake,22,2.0,1.0,100.54,50
v_dec_vs_mistake,22,3.0,1.0,107.74,50
v_dec_vs_mistake,22,5.0,1.0,111.88,50
v_deception,14,0.5,0.82,6.92,50
v_deception,14,1.0,0.98,11.02,50
v_deception,14,2.0,1.0,24.16,50
v_deception,14,3.0,1.0,79.48,50
v_deception,14,5.0,1.0,96.06,50
v_deception,16,0.5,0.8,7.6,50
v_deception,16,1.0,0.94,11.7,50
v_deception,16,2.0,0.96,16.52,50
v_deception,16,3.0,1.0,88.06,50
v_deception,16,5.0,1.0,85.7,50
v_deception,17,0.5,0.84,8.94,50
v_deception,17,1.0,0.98,19.74,50
v_deception,17,2.0,1.0,39.3,50
v_deception,17,3.0,1.0,73.74,50
v_deception,17,5.0,1.0,73.46,50
v_deception,18,0.5,0.84,13.34,50
v_deception,18,1.0,0.96,23.34,50
v_deception,18,2.0,1.0,94.48,50
v_deception,18,3.0,1.0,83.2,50
v_deception,18,5.0,1.0,45.44,50
v_deception,19,0.5,0.84,10.06,50
v_deception,19,1.0,0.92,34.32,50
v_deception,19,2.0,1.0,102.54,50
v_deception,19,3.0,1.0,107.64,50
v_deception,19,5.0,1.0,-0.7,50
v_deception,20,0.5,0.8,7.74,50
v_deception,20,1.0,0.94,23.98,50
v_deception,20,2.0,1.0,103.34,50
v_deception,20,3.0,1.0,114.56,50
v_deception,20,5.0,1.0,122.6,50
v_deception,21,0.5,0.72,8.82,50
v_deception,21,1.0,0.96,19.26,50
v_deception,21,2.0,1.0,103.14,50
v_deception,21,3.0,1.0,112.38,50
v_deception,21,5.0,1.0,107.1,50
v_deception,22,0.5,0.74,9.58,50
v_deception,22,1.0,0.92,22.46,50
v_deception,22,2.0,1.0,102.34,50
v_deception,22,3.0,1.0,111.54,50
v_deception,22,5.0,1.0,112.88,50
v_mistake,14,0.5,0.52,0.36,50
v_mistake,14,1.0,0.64,3.24,50
v_mistake,14,2.0,0.84,5.12,50
v_mistake,14,3.0,0.94,7.88,50
v_mistake,14,5.0,0.98,11.64,50
v_mistake,16,0.5,0.64,1.52,50
v_mistake,16,1.0,0.74,4.84,50
v_mistake,16,2.0,0.84,6.26,50
v_mistake,16,3.0,0.9,7.72,50
v_mistake,16,5.0,0.98,25.74,50
v_mistake,17,0.5,0.64,4.32,50
v_mistake,17,1.0,0.74,9.14,50
v_mistake,17,2.0,0.9,17.24,50
v_mistake,17,3.0,0.98,36.86,50
v_mistake,17,5.0,1.0,66.34,50
v_mistake,18,0.5,0.62,2.88,50
v_mistake,18,1.0,0.76,6.38,50
v_mistake,18,2.0,0.86,13.94,50
v_mistake,18,3.0,1.0,23.22,50
v_mistake,18,5.0,1.0,55.04,50
v_mistake,19,0.5,0.5,1.52,50
v_mistake,19,1.0,0.78,4.2,50
v_mistake,19,2.0,0.88,8.6,50
v_mistake,19,3.0,0.96,16.56,50
v_mistake,19,5.0,1.0,46.72,50
v_mistake,20,0.5,0.46,-0.28,50
v_mistake,20,1.0,0.64,2.8,50
v_mistake,20,2.0,0.82,8.52,50
v_mistake,20,3.0,0.92,13.94,50
v_mistake,20,5.0,0.98,47.08,50
v_mistake,21,0.5,0.4,0.26,50
v_mistake,21,1.0,0.58,1.44,50
v_mistake,21,2.0,0.76,6.86,50
v_mistake,21,3.0,0.86,11.86,50
v_mistake,21,5.0,0.9,25.92,50
v_mistake,22,0.5,0.36,1.12,50
v_mistake,22,1.0,0.6,2.08,50
v_mistake,22,2.0,0.76,5.68,50
v_mistake,22,3.0,0.82,12.22,50
v_mistake,22,5.0,0.9,27.6,50
